L,B,a,b,c,t,phi,sigma_0,E,nu,sigma_ax_a,sigma_ay_a,sigma_bx_a,sigma_by_a,tau_a,sigma_ax_b,sigma_ay_b,sigma_bx_b,sigma_by_b,tau_b,sigma_ax_c,sigma_ay_c,sigma_bx_c,sigma_by_c,tau_c,sigma_a_unit_c,sigma_b_unit_c,sigma_x_cbhd,sigma_y_cbhd,tau_cbhd
94.488,188.976,11.811,15.748,7.874,0.75,75,51475,30000000,0.3,11000,8000,1.00E-05,1.00E-05,4000,10000,7000,1.00E-05,1.00E-05,3000,9000,6000,1.00E-05,1.00E-05,2000,12500,10000,10000,7500,5000
100,200,20,24,18,0.5,45,34075,30000000,0.3,100,75,125,90,80,105,80,130,95,85,95,70,120,85,75,125,60,55,30,40
110,210,20.5,24.5,18.5,0.55,45.5,34085,30000000,0.3,110,85,135,100,90,115,90,140,105,95,105,80,130,95,85,135,70,65,40,50
120,220,21,25,19,0.6,46,34095,30000000,0.3,120,95,145,110,100,125,100,150,115,105,115,90,140,105,95,145,80,75,50,60
130,230,21.5,25.5,19.5,0.65,46.5,34105,30000000,0.3,130,105,155,120,110,135,110,160,125,115,125,100,150,115,105,155,90,85,60,70
140,240,22,26,20,0.7,47,34115,30000000,0.3,140,115,165,130,120,145,120,170,135,125,135,110,160,125,115,165,100,95,70,80
150,250,22.5,26.5,20.5,0.75,47.5,34125,30000000,0.3,150,125,175,140,130,155,130,180,145,135,145,120,170,135,125,175,110,105,80,90
160,260,23,27,21,0.8,48,34135,30000000,0.3,160,135,185,150,140,165,140,190,155,145,155,130,180,145,135,185,120,115,90,100
170,270,23.5,27.5,21.5,0.85,48.5,34145,30000000,0.3,170,145,195,160,150,175,150,200,165,155,165,140,190,155,145,195,130,125,100,110
180,280,24,28,22,0.9,49,34155,30000000,0.3,180,155,205,170,160,185,160,210,175,165,175,150,200,165,155,205,140,135,110,120
190,290,24.5,28.5,22.5,0.95,49.5,34165,30000000,0.3,190,165,215,180,170,195,170,220,185,175,185,160,210,175,165,215,150,145,120,130
200,300,25,29,23,1,50,34175,30000000,0.3,200,175,225,190,180,205,180,230,195,185,195,170,220,185,175,225,160,155,130,140
210,310,25.5,29.5,23.5,1.05,50.5,34185,30000000,0.3,210,185,235,200,190,215,190,240,205,195,205,180,230,195,185,235,170,165,140,150
220,320,26,30,24,1.1,51,34195,30000000,0.3,220,195,245,210,200,225,200,250,215,205,215,190,240,205,195,245,180,175,150,160
230,330,26.5,30.5,24.5,1.15,51.5,34205,30000000,0.3,230,205,255,220,210,235,210,260,225,215,225,200,250,215,205,255,190,185,160,170
240,340,27,31,25,1.2,52,34215,30000000,0.3,240,215,265,230,220,245,220,270,235,225,235,210,260,225,215,265,200,195,170,180
250,350,27.5,31.5,25.5,1.25,52.5,34225,30000000,0.3,250,225,275,240,230,255,230,280,245,235,245,220,270,235,225,275,210,205,180,190
260,360,28,32,26,1.3,53,34235,30000000,0.3,260,235,285,250,240,265,240,290,255,245,255,230,280,245,235,285,220,215,190,200
270,370,28.5,32.5,26.5,1.35,53.5,34245,30000000,0.3,270,245,295,260,250,275,250,300,265,255,265,240,290,255,245,295,230,225,200,210
280,380,29,33,27,1.4,54,34255,30000000,0.3,280,255,305,270,260,285,260,310,275,265,275,250,300,265,255,305,240,235,210,220
290,390,29.5,33.5,27.5,1.45,54.5,34265,30000000,0.3,290,265,315,280,270,295,270,320,285,275,285,260,310,275,265,315,250,245,220,230
300,400,30,34,28,1.5,55,34275,30000000,0.3,300,275,325,290,280,305,280,330,295,285,295,270,320,285,275,325,260,255,230,240
310,410,30.5,34.5,28.5,1.55,55.5,34285,30000000,0.3,310,285,335,300,290,315,290,340,305,295,305,280,330,295,285,335,270,265,240,250
320,420,31,35,29,1.6,56,34295,30000000,0.3,320,295,345,310,300,325,300,350,315,305,315,290,340,305,295,345,280,275,250,260
330,430,31.5,35.5,29.5,1.65,56.5,34305,30000000,0.3,330,305,355,320,310,335,310,360,325,315,325,300,350,315,305,355,290,285,260,270
340,440,32,36,30,1.7,57,34315,30000000,0.3,340,315,365,330,320,345,320,370,335,325,335,310,360,325,315,365,300,295,270,280
