L,B,a,b,c,t,phi,sigma_0,E,nu,sigma_ax_a,sigma_ay_a,sigma_bx_a,sigma_by_a,tau_a,sigma_ax_b,sigma_ay_b,sigma_bx_b,sigma_by_b,tau_b,sigma_ax_c,sigma_ay_c,sigma_bx_c,sigma_by_c,tau_c,sigma_a_unit_c,sigma_b_unit_c,sigma_x_cbhd,sigma_y_cbhd,tau_cbhd
94.488,188.976,11.811,15.748,7.874,0.75,75.0,51475.0,30000000.0,0.3,11000.0,8000.0,1e-05,1e-05,4000.0,10000.0,7000.0,1e-05,1e-05,3000.0,9000.0,6000.0,1e-05,1e-05,2000.0,12500.0,10000.0,10000.0,7500.0,5000.0
104.488,198.976,12.311,16.248,8.374,0.8,75.5,51475.0,30000000.0,0.3,11100.0,8100.0,100.00001,100.00001,4100.0,10100.0,7100.0,100.00001,100.00001,3100.0,9100.0,6100.0,100.00001,100.00001,2100.0,12600.0,10100.0,10100.0,7600.0,5100.0
114.488,208.976,12.811,16.748,8.874,0.85,76.0,51475.0,30000000.0,0.3,11200.0,8200.0,200.00001,200.00001,4200.0,10200.0,7200.0,200.00001,200.00001,3200.0,9200.0,6200.0,200.00001,200.00001,2200.0,12700.0,10200.0,10200.0,7700.0,5200.0
124.488,218.976,13.311,17.248,9.374,0.9,76.5,51475.0,30000000.0,0.3,11300.0,8300.0,300.00001,300.00001,4300.0,10300.0,7300.0,300.00001,300.00001,3300.0,9300.0,6300.0,300.00001,300.00001,2300.0,12800.0,10300.0,10300.0,7800.0,5300.0
134.488,228.976,13.811,17.748,9.874,0.95,77.0,51475.0,30000000.0,0.3,11400.0,8400.0,400.00001,400.00001,4400.0,10400.0,7400.0,400.00001,400.00001,3400.0,9400.0,6400.0,400.00001,400.00001,2400.0,12900.0,10400.0,10400.0,7900.0,5400.0
144.488,238.976,14.311,18.248,10.374,1.0,77.5,51475.0,30000000.0,0.3,11500.0,8500.0,500.00001,500.00001,4500.0,10500.0,7500.0,500.00001,500.00001,3500.0,9500.0,6500.0,500.00001,500.00001,2500.0,13000.0,10500.0,10500.0,8000.0,5500.0
154.488,248.976,14.811,18.748,10.874,1.05,78.0,51475.0,30000000.0,0.3,11600.0,8600.0,600.00001,600.00001,4600.0,10600.0,7600.0,600.00001,600.00001,3600.0,9600.0,6600.0,600.00001,600.00001,2600.0,13100.0,10600.0,10600.0,8100.0,5600.0
164.488,258.976,15.311,19.248,11.374,1.1,78.5,51475.0,30000000.0,0.3,11700.0,8700.0,700.00001,700.00001,4700.0,10700.0,7700.0,700.00001,700.00001,3700.0,9700.0,6700.0,700.00001,700.00001,2700.0,13200.0,10700.0,10700.0,8200.0,5700.0
174.488,268.976,15.811,19.748,11.874,1.15,79.0,51475.0,30000000.0,0.3,11800.0,8800.0,800.00001,800.00001,4800.0,10800.0,7800.0,800.00001,800.00001,3800.0,9800.0,6800.0,800.00001,800.00001,2800.0,13300.0,10800.0,10800.0,8300.0,5800.0
184.488,278.976,16.311,20.248,12.374,1.2,79.5,51475.0,30000000.0,0.3,11900.0,8900.0,900.00001,900.00001,4900.0,10900.0,7900.0,900.00001,900.00001,3900.0,9900.0,6900.0,900.00001,900.00001,2900.0,13400.0,10900.0,10900.0,8400.0,5900.0
194.488,288.976,16.811,20.748,12.874,1.25,80.0,51475.0,30000000.0,0.3,12000.0,9000.0,1000.00001,1000.00001,5000.0,11000.0,8000.0,1000.00001,1000.00001,4000.0,10000.0,7000.0,1000.00001,1000.00001,3000.0,13500.0,11000.0,11000.0,8500.0,6000.0
204.488,298.976,17.311,21.248,13.374,1.3,80.5,51475.0,30000000.0,0.3,12100.0,9100.0,1100.00001,1100.00001,5100.0,11100.0,8100.0,1100.00001,1100.00001,4100.0,10100.0,7100.0,1100.00001,1100.00001,3100.0,13600.0,11100.0,11100.0,8600.0,6100.0
214.488,308.976,17.811,21.748,13.874,1.35,81.0,51475.0,30000000.0,0.3,12200.0,9200.0,1200.00001,1200.00001,5200.0,11200.0,8200.0,1200.00001,1200.00001,4200.0,10200.0,7200.0,1200.00001,1200.00001,3200.0,13700.0,11200.0,11200.0,8700.0,6200.0
224.488,318.976,18.311,22.248,14.374,1.4,81.5,51475.0,30000000.0,0.3,12300.0,9300.0,1300.00001,1300.00001,5300.0,11300.0,8300.0,1300.00001,1300.00001,4300.0,10300.0,7300.0,1300.00001,1300.00001,3300.0,13800.0,11300.0,11300.0,8800.0,6300.0
234.488,328.976,18.811,22.748,14.874,1.45,82.0,51475.0,30000000.0,0.3,12400.0,9400.0,1400.00001,1400.00001,5400.0,11400.0,8400.0,1400.00001,1400.00001,4400.0,10400.0,7400.0,1400.00001,1400.00001,3400.0,13900.0,11400.0,11400.0,8900.0,6400.0
